"SA Restricted Word: ID","SA Restricted Word: SA Restricted Word Name","Word","RegexValue","ReplacementRegexValue","Designation Type","Substitution","Description","SampleEntry","isActive","Override Substitution"
"a0BHy00000A9Rpi","RW-0028","sh1t|sh1ter|sh1ts|Assface|assfuck|assfucker|assgoblin|asshOle|asshOlez|asshat","\b(?i)(sh1t|sh1ter|sh1ts|Assface|assfuck|assfucker|assgoblin|asshOle|asshOlez|asshat)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpj","RW-0029","asshead|asshole|LMFAO|masochist|masokist|mcass|mcasshole|mcfuck|mofo|mothafucka","\b(?i)(asshead|asshole|LMFAO|masochist|masokist|mcass|mcasshole|mcfuck|mofo|mothafucka)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpk","RW-0030","Mothalucker|mothafuckin|MothaFuker|MothaFukkah|MothaFukker|dumshit|clitface|cockbite|cockface|shitter","\b(?i)(Mothalucker|mothafuckin|MothaFuker|MothaFukkah|MothaFukker|dumshit|clitface|cockbite|cockface|shitter )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpl","RW-0031","fucka|bastard|asswad|cock-head|cockhead|dickhead|dickwad|dickweed|dickwod|fucked","\b(?i)(fucka|bastard|asswad|cock-head|cockhead|dickhead|dickwad|dickweed|dickwod|fucked)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpm","RW-0032","fuckhead|fucktard|fuckwad|shitcanned|shitfaced shithead|arsehole|curndumpster|cumguzzler|cuntlicker","\b(?i)(fuckhead|fucktard|fuckwad|shitcanned|shitfaced shithead|arsehole|curndumpster|cumguzzler|cuntlicker )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpn","RW-0033","dickfucker|dickmonger|dicksucker|fucker|MotherFucker|motherfucking|MuthaFukah|MuthaFuker|shitbag|shitting","\b(?i)(dickfucker|dickmonger|dicksucker|fucker|MotherFucker|motherfucking|MuthaFukah|MuthaFuker|shitbag|shitting )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpo","RW-0034","bitch|assmunth|cocksmith|shitbreath|cock|fuck|cocknose|cockwaffle|cumbubble|cuntface","\b(?i)(bitch|assmunth|cocksmith|shitbreath|cock|fuck|cocknose|cockwaffle|cumbubble|cuntface)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpp","RW-0035","asspirate|assshole|asswipe|shltz|shi+|fuckersucker|shitbagger|Shiteater|shitspitter|shitter","\b(?i)(asspirate|assshole|asswipe|shltz|shi+|fuckersucker|shitbagger|Shiteater|shitspitter|shitter )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpq","RW-0036","assholes|bastards|bitchass|bitches|bitchtits|clits|cockass|cocks|cuntass|cunts","\b(?i)(assholes|bastards|bitchass|bitches|bitchtits|clits|cockass|cocks|cuntass|cunts)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpr","RW-0037","asslick|clitfuck|dickfuck|dickmilk|dumfuck|clusterfuck|Phuker|MuthaFukkah Muthalukker|nifoc","\b(?i)(asslick|clitfuck|dickfuck|dickmilk|dumfuck|clusterfuck|Phuker|MuthaFukkah Muthalukker|nifoc )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rps","RW-0038","nucking futs|OMFG|orgy|p*rn|penisfucker|Phuc|Phuck|Phuk|CockSucker|Cockswallower","\b(?i)(nucking futs|OMFG|orgy|p*rn|penisfucker|Phuc|Phuck|Phuk|CockSucker|Cockswallower)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpt","RW-0039","cOck|cOcks|cOk|cnts|cntz|cockblocker|coochie|God-damned|gtfo|hell","\b(?i)(cOck|cOcks|cOk|cnts|cntz|cockblocker|coochie|God-damned|gtfo|hell)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpu","RW-0040","Hell ya|homodumbshit|homofuck|homoshit|jackass|kunt|hells|Hells ya|Phukker|porn","\b(?i)(Hell ya|homodumbshit|homofuck|homoshit|jackass|kunt|hells|Hells ya|Phukker|porn )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpv","RW-0041","porno|pornos|Punta|pusse|dicksucking|fuckbag|fucking|shitheads|Shyt|bitchy","\b(?i)(porno|pornos|Punta|pusse|dicksucking|fuckbag|fucking|shitheads|Shyt|bitchy )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpw","RW-0042","cockjockey|cockmonkey|shits|dildos|kunts|azzhole|b!+ch|kuntz|b!tch|bOObs","\b(?i)(cockjockey|cockmonkey|shits|dildos|kunts|azzhole|b!+ch|kuntz|b!tch|bOObs)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpx","RW-0043","pussee|pussies|cunthole|dickface|dickhole|dickjuice|Mich|bitch|dickbeaters|dicks","\b(?i)(pussee|pussies|cunthole|dickface|dickhole|dickjuice|Mich|bitch|dickbeaters|dicks )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpy","RW-0044","fuck nuts|fuckass|fucks|shitass|shitbrains|kush|lameass|lamefuck|lameshit|Lipshits","\b(?i)(fuck nuts|fuckass|fucks|shitass|shitbrains|kush|lameass|lamefuck|lameshit|Lipshits )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpz","RW-0045","coochy|crap|crappy|cunnie|Damit|dild0|dildOs|dildo|dilld0|cockmongler","\b(?i)(coochy|crap|crappy|cunnie|Damit|dild0|dildOs|dildo|dilld0|cockmongler)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq0","RW-0046","cockmuncher|cocksmoker|cocksniffer|cocksuckers|cums|cunty|faggots|Lipshitz|lmao|ashOles","\b(?i)(cockmuncher|cocksmoker|cocksniffer|cocksuckers|cums|cunty|faggots|Lipshitz|lmao|ashOles )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq1","RW-0047","asholes|ass-hat|ass-jabber|pussy|pussylicking|motherfuckers|assjacker|asslicker|Shyte|Shytty","\b(?i)(asholes|ass-hat|ass-jabber|pussy|pussylicking|motherfuckers|assjacker|asslicker|Shyte|Shytty)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq2","RW-0048","Shyty|skullfuck|rimjob|ROTFLMAO|ass-pirate|assbanger|assbite|assclown|assbag|assbandit","\b(?i)(Shyty|skullfuck|rimjob|ROTFLMAO|ass-pirate|assbanger|assbite|assclown|assbag|assbandit)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq3","RW-0049","son-of-a-bitch|stfu|suckass|thundercunt|titfuck|tits|tittyfuck|twat|twats|unclefucker","\b(?i)(son-of-a-bitch|stfu|suckass|thundercunt|titfuck|tits|tittyfuck|twat|twats|unclefucker)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq4","RW-0050","whore whored|whores|wtf|wth|zabourah|dumb ass|dumbass|niggers|clit","\b(?i)(whore whored|whores|wtf|wth|zabourah|dumb ass|dumbass|niggers|clit)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq5","RW-0051","cunt faggot fuckface|fuckbutt|fucknut|fucknutt|fucktart|fuckwit|fuckwitt|goddamnit","\b(?i)(cunt faggot fuckface|fuckbutt|fucknut|fucknutt|fucktart|fuckwit|fuckwitt|goddamnit)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq6","RW-0052","shit bullshit dipshit|shitcunt|shittiest|dilld0s|Dry hump|dumass|fu|fagfucker","\b(?i)(shit bullshit dipshit|shitcunt|shittiest|dilld0s|Dry hump|dumass|fu|fagfucker)\b","","Foul Language","****","","","1","0"
